year,mth,peak_system_demand_mw
2005,1,5083
2005,2,5285
2005,3,5333
2005,4,5408
2005,5,5385
2005,6,5298
2005,7,5297
2005,8,5341
2005,9,5471
2005,10,5475
2005,11,5456
2005,12,5332
2006,1,5235
2006,2,5442
2006,3,5525
2006,4,5460
2006,5,5572
2006,6,5561
2006,7,5555
2006,8,5551
2006,9,5503
2006,10,5624
2006,11,5534
2006,12,5526
2007,1,5568
2007,2,5563
2007,3,5707
2007,4,5753
2007,5,5867
2007,6,5770
2007,7,5799
2007,8,5769
2007,9,5835
2007,10,5946
2007,11,5713
2007,12,5561
2008,1,5735
2008,2,5749
2008,3,5790
2008,4,5976
2008,5,6073
2008,6,5892
2008,7,5847
2008,8,5819
2008,9,5902
2008,10,5821
2008,11,5660
2008,12,5661
2009,1,5488
2009,2,5629
2009,3,5482
2009,4,5806
2009,5,5926
2009,6,5940
2009,7,5958
2009,8,6032
2009,9,6041
2009,10,6039
2009,11,5922
2009,12,5904
2010,1,5981
2010,2,6216
2010,3,6218
2010,4,6395
2010,5,6494
2010,6,6311
2010,7,6244
2010,8,6358
2010,9,6285
2010,10,6345
2010,11,6320
2010,12,6232
2011,1,6160
2011,2,6214
2011,3,6227
2011,4,6310
2011,5,6570
2011,6,6500
2011,7,6482
2011,8,6417
2011,9,6480
2011,10,6326
2011,11,6256
2011,12,6159
2012,1,6323
2012,2,6289
2012,3,6373
2012,4,6457
2012,5,6639
2012,6,6552
2012,7,6524
2012,8,6576
2012,9,6490
2012,10,6563
2012,11,6432
2012,12,6323
2013,1,6455
2013,2,6381
2013,3,6471
2013,4,6572
2013,5,6686
2013,6,6814
2013,7,6735
2013,8,6659
2013,9,6663
2013,10,6578
2013,11,6556
2013,12,6466
2014,1,6385
2014,2,6541
2014,3,6652
2014,4,6715
2014,5,6801
2014,6,6869
2014,7,6868
2014,8,6761
2014,9,6846
2014,10,6850
2014,11,6699
2014,12,6572
2015,1,6546
2015,2,6551
2015,3,6746
2015,4,6890
2015,5,6839
2015,6,6960
2015,7,6919
2015,8,6849
2015,9,6856
2015,10,6870
2015,11,6748
2015,12,6626
2016,1,6735
2016,2,6733
2016,3,6909
2016,4,7081
2016,5,7099
2016,6,6961
2016,7,7045
2016,8,7149
2016,9,7092
2016,10,7054
2016,11,6897
2016,12,6983
2017,1,6978
2017,2,6851
2017,3,6856
2017,4,6859
2017,5,7105
2017,6,7188
2017,7,7184
2017,8,7170
2017,9,7049
2017,10,7030
2017,11,6930
2017,12,6981
2018,1,6915
2018,2,6966
2018,3,7082
2018,4,7222
2018,5,7331
2018,6,7370
2018,7,7231
2018,8,7313
2018,9,7101
2018,10,7257
2018,11,6988
2018,12,6961
2019,1,7095
2019,2,7072
2019,3,7141
2019,4,7380
2019,5,7404
2019,6,7195
2019,7,7260
2019,8,7358
2019,9,7376
2019,10,7150
2019,11,7153
2019,12,7018
2020,1,7186
2020,2,7179
2020,3,7320
2020,4,7275
2020,5,6702
2020,6,6950
2020,7,7004
2020,8,7376
2020,9,7064
2020,10,7078
2020,11,7198
2020,12,7127
2021,1,6899
2021,2,7169
2021,3,7397
2021,4,7398
2021,5,7562
2021,6,7518
2021,7,7560
2021,8,7374
2021,9,7466
2021,10,7725
2021,11,7511
2021,12,7548
2022,1,7411
2022,2,7394
2022,3,7595
2022,4,7541
2022,5,7789
2022,6,7556
