year,month,DWELLING_TYPE,consumption_GWh
2005,1,Overall,447.8
2005,2,Overall,437.1
2005,3,Overall,479.7
2005,4,Overall,533.6
2005,5,Overall,535
2005,6,Overall,560.2
2005,7,Overall,537.4
2005,8,Overall,528.8
2005,9,Overall,516.3
2005,10,Overall,520
2005,11,Overall,518.6
2005,12,Overall,478
2005,1,Public Housing,280.7
2005,2,Public Housing,270.8
2005,3,Public Housing,295.4
2005,4,Public Housing,331.6
2005,5,Public Housing,330.5
2005,6,Public Housing,347.9
2005,7,Public Housing,335.3
2005,8,Public Housing,330.1
2005,9,Public Housing,321
2005,10,Public Housing,319
2005,11,Public Housing,319.7
2005,12,Public Housing,295.4
2005,1,1-room / 2-room,6.3
2005,2,1-room / 2-room,6
2005,3,1-room / 2-room,6.1
2005,4,1-room / 2-room,6.9
2005,5,1-room / 2-room,6.8
2005,6,1-room / 2-room,7
2005,7,1-room / 2-room,6.9
2005,8,1-room / 2-room,7
2005,9,1-room / 2-room,6.6
2005,10,1-room / 2-room,6.5
2005,11,1-room / 2-room,6.4
2005,12,1-room / 2-room,6
2005,1,3-room,52.9
2005,2,3-room,51.5
2005,3,3-room,55.4
2005,4,3-room,61.4
2005,5,3-room,61.5
2005,6,3-room,64.4
2005,7,3-room,61.9
2005,8,3-room,61.7
2005,9,3-room,59.4
2005,10,3-room,59.1
2005,11,3-room,59.1
2005,12,3-room,55.3
2005,1,4-room,111.1
2005,2,4-room,107.3
2005,3,4-room,117.1
2005,4,4-room,131.5
2005,5,4-room,130.9
2005,6,4-room,138.3
2005,7,4-room,133
2005,8,4-room,130.8
2005,9,4-room,127.5
2005,10,4-room,126.6
2005,11,4-room,127
2005,12,4-room,117
2005,1,5-room and Executive,110.4
2005,2,5-room and Executive,106
2005,3,5-room and Executive,116.8
2005,4,5-room and Executive,131.8
2005,5,5-room and Executive,131.2
2005,6,5-room and Executive,138.1
2005,7,5-room and Executive,133.5
2005,8,5-room and Executive,130.7
2005,9,5-room and Executive,127.6
2005,10,5-room and Executive,126.8
2005,11,5-room and Executive,127.2
2005,12,5-room and Executive,117.2
2005,1,Private Housing,166.2
2005,2,Private Housing,165.5
2005,3,Private Housing,183.3
2005,4,Private Housing,200.9
2005,5,Private Housing,203.5
2005,6,Private Housing,211.3
2005,7,Private Housing,201.1
2005,8,Private Housing,197.7
2005,9,Private Housing,194.3
2005,10,Private Housing,200
2005,11,Private Housing,197.8
2005,12,Private Housing,181.6
2005,1,Private Apartments and Condominiums,95.8
2005,2,Private Apartments and Condominiums,94.8
2005,3,Private Apartments and Condominiums,104.8
2005,4,Private Apartments and Condominiums,117.9
2005,5,Private Apartments and Condominiums,120.4
2005,6,Private Apartments and Condominiums,124.5
2005,7,Private Apartments and Condominiums,118.9
2005,8,Private Apartments and Condominiums,116.2
2005,9,Private Apartments and Condominiums,114.1
2005,10,Private Apartments and Condominiums,118.1
2005,11,Private Apartments and Condominiums,117.2
2005,12,Private Apartments and Condominiums,106.9
2005,1,Landed Properties,70.4
2005,2,Landed Properties,70.7
2005,3,Landed Properties,78.5
2005,4,Landed Properties,83.1
2005,5,Landed Properties,83.1
2005,6,Landed Properties,86.8
2005,7,Landed Properties,82.2
2005,8,Landed Properties,81.4
2005,9,Landed Properties,80.2
2005,10,Landed Properties,81.9
2005,11,Landed Properties,80.6
2005,12,Landed Properties,74.7
2005,1,Others,0.9
2005,2,Others,0.9
2005,3,Others,1
2005,4,Others,1.1
2005,5,Others,1.1
2005,6,Others,1.1
2005,7,Others,1
2005,8,Others,1
2005,9,Others,1
2005,10,Others,1.1
2005,11,Others,1
2005,12,Others,0.9
2005,Annual,Overall,6092.5
2005,Annual,Public Housing,3777.4
2005,Annual,1-room / 2-room,78.5
2005,Annual,3-room,703.6
2005,Annual,4-room,1498.1
2005,Annual,5-room and Executive,1497.3
2005,Annual,Private Housing,2303.2
2005,Annual,Private Apartments and Condominiums,1349.6
2005,Annual,Landed Properties,953.6
2005,Annual,Others,12.1
2006,1,Overall,465.5
2006,2,Overall,452.3
2006,3,Overall,470
2006,4,Overall,511.3
2006,5,Overall,522
2006,6,Overall,533.2
2006,7,Overall,513.2
2006,8,Overall,544.2
2006,9,Overall,541.4
2006,10,Overall,525.7
2006,11,Overall,535.2
2006,12,Overall,495
2006,1,Public Housing,289.6
2006,2,Public Housing,277.9
2006,3,Public Housing,286.1
2006,4,Public Housing,311.8
2006,5,Public Housing,318.9
2006,6,Public Housing,329
2006,7,Public Housing,317.4
2006,8,Public Housing,334.9
2006,9,Public Housing,331.8
2006,10,Public Housing,320
2006,11,Public Housing,327.2
2006,12,Public Housing,302.4
2006,1,1-room / 2-room,5.8
2006,2,1-room / 2-room,5.5
2006,3,1-room / 2-room,5.4
2006,4,1-room / 2-room,5.9
2006,5,1-room / 2-room,6
2006,6,1-room / 2-room,6.1
2006,7,1-room / 2-room,5.9
2006,8,1-room / 2-room,6.1
2006,9,1-room / 2-room,6.1
2006,10,1-room / 2-room,6
2006,11,1-room / 2-room,6.1
2006,12,1-room / 2-room,5.8
2006,1,3-room,53.3
2006,2,3-room,51.8
2006,3,3-room,52.9
2006,4,3-room,57.8
2006,5,3-room,59.1
2006,6,3-room,60.7
2006,7,3-room,58.4
2006,8,3-room,61.3
2006,9,3-room,60.7
2006,10,3-room,59
2006,11,3-room,59.6
2006,12,3-room,55.5
2006,1,4-room,114.8
2006,2,4-room,109.9
2006,3,4-room,113.7
2006,4,4-room,123.8
